name,accuracy,f1_macro
RandomForest,0.929637526652452,0.8220081135902637
DecisionTree,0.9211087420042644,0.8055097866357827
SVM,0.9147121535181236,0.7964201290806278
KNN,0.8933901918976546,0.7569933325375579
LogisticRegression,0.8635394456289979,0.6403634203544745
