,0
yaw_deg,0.5497336195925316
pitch_deg,0.13951675452647913
ear,0.08202699398676373
blink_rate_10s_bps,0.07699366311021197
blink_det_ms,0.0590527629286231
gaze_est_ms,0.04681255078800522
face_det_ms,0.0458636550673852
num_faces,0.0
